2017-05-04 23:56:45 26.8℃ 43.4％ 1019.83hPa
2017-05-04 23:57:08 26.9℃ 43.1％ 1019.75hPa
2017-05-04 23:57:30 27.1℃ 42.8％ 1019.82hPa
2017-05-04 23:57:55 27.2℃ 42.5％ 1019.82hPa
2017-05-04 23:58:20 27.3℃ 42.2％ 1019.79hPa
2017-05-04 23:58:42 27.4℃ 42.0％ 1019.77hPa
2017-05-04 23:59:04 27.4℃ 41.9％ 1019.80hPa
2017-05-04 23:59:27 27.5℃ 41.7％ 1019.81hPa
2017-05-04 23:59:49 27.7℃ 41.6％ 1019.82hPa
2017-05-05 00:00:11 27.6℃ 41.5％ 1019.77hPa
2017-05-05 00:00:34 27.7℃ 41.4％ 1019.79hPa
2017-05-05 00:00:59 27.8℃ 41.2％ 1019.80hPa
2017-05-05 00:01:23 27.8℃ 41.0％ 1019.78hPa
2017-05-05 00:01:46 27.9℃ 41.0％ 1019.76hPa
2017-05-05 00:02:08 28.0℃ 40.9％ 1019.81hPa
2017-05-05 00:02:30 28.1℃ 40.9％ 1019.84hPa
2017-05-05 00:02:53 28.1℃ 40.8％ 1019.79hPa
2017-05-05 00:03:15 28.2℃ 40.6％ 1019.79hPa
2017-05-05 00:03:37 28.3℃ 40.5％ 1019.75hPa
2017-05-05 00:04:00 28.3℃ 40.3％ 1019.74hPa
2017-05-05 00:04:22 28.4℃ 40.2％ 1019.84hPa
2017-05-05 00:04:44 28.5℃ 40.2％ 1019.78hPa
2017-05-05 00:05:07 28.4℃ 40.1％ 1019.74hPa
2017-05-05 00:05:29 28.5℃ 40.0％ 1019.75hPa
2017-05-05 00:05:51 28.6℃ 39.9％ 1019.76hPa
2017-05-05 00:06:14 28.5℃ 39.7％ 1019.77hPa
2017-05-05 00:06:36 28.5℃ 39.7％ 1019.71hPa
2017-05-05 00:07:06 28.5℃ 39.8％ 1019.71hPa
2017-05-05 00:07:28 28.5℃ 39.7％ 1019.70hPa
2017-05-05 00:07:50 28.5℃ 39.5％ 1019.72hPa
2017-05-05 00:08:13 28.6℃ 39.4％ 1019.71hPa
2017-05-05 00:08:35 28.7℃ 39.4％ 1019.71hPa
2017-05-05 00:08:57 28.6℃ 39.2％ 1019.71hPa
2017-05-05 00:09:19 28.5℃ 39.0％ 1019.68hPa
2017-05-05 00:09:42 28.6℃ 38.9％ 1019.71hPa
2017-05-05 00:10:04 28.6℃ 38.7％ 1019.67hPa
2017-05-05 00:10:26 28.7℃ 38.6％ 1019.68hPa
2017-05-05 00:10:49 28.7℃ 38.4％ 1019.69hPa
2017-05-05 00:11:21 28.8℃ 38.1％ 1019.71hPa
2017-05-05 00:11:43 28.7℃ 38.1％ 1019.68hPa
2017-05-05 00:12:06 28.8℃ 38.1％ 1019.55hPa
2017-05-05 00:12:28 28.7℃ 38.1％ 1019.61hPa
2017-05-05 00:12:50 28.8℃ 38.0％ 1019.62hPa
2017-05-05 00:13:15 28.8℃ 37.8％ 1019.63hPa
2017-05-05 00:13:40 28.8℃ 37.7％ 1019.70hPa
2017-05-05 00:14:02 28.9℃ 37.7％ 1019.62hPa
2017-05-05 00:14:25 28.8℃ 37.6％ 1019.68hPa
2017-05-05 00:14:50 28.8℃ 37.5％ 1019.60hPa
2017-05-05 00:15:12 28.8℃ 37.4％ 1019.58hPa
2017-05-05 00:15:37 28.8℃ 37.3％ 1019.67hPa
2017-05-05 00:16:02 28.8℃ 37.3％ 1019.61hPa
2017-05-05 00:16:26 28.9℃ 37.2％ 1019.65hPa
2017-05-05 00:16:49 28.9℃ 37.2％ 1019.62hPa
2017-05-05 00:17:11 28.9℃ 37.1％ 1019.62hPa
2017-05-05 00:17:33 28.8℃ 37.0％ 1019.67hPa
2017-05-05 00:17:56 28.9℃ 37.0％ 1019.62hPa
2017-05-05 00:18:18 28.9℃ 36.9％ 1019.69hPa
2017-05-05 00:18:40 29.0℃ 36.9％ 1019.64hPa
2017-05-05 00:19:02 28.9℃ 36.9％ 1019.57hPa
2017-05-05 00:19:25 28.9℃ 36.7％ 1019.65hPa
2017-05-05 00:19:47 28.9℃ 36.6％ 1019.67hPa
2017-05-05 00:20:09 28.9℃ 36.6％ 1019.63hPa
2017-05-05 00:20:32 28.9℃ 36.5％ 1019.61hPa
2017-05-05 00:20:56 28.9℃ 36.4％ 1019.60hPa
2017-05-05 00:21:24 28.9℃ 36.3％ 1019.65hPa
2017-05-05 00:21:46 29.0℃ 36.2％ 1019.64hPa
2017-05-05 00:22:08 29.0℃ 36.2％ 1019.54hPa
2017-05-05 00:22:31 29.0℃ 36.2％ 1019.54hPa
2017-05-05 00:22:53 29.0℃ 36.2％ 1019.57hPa
2017-05-05 00:23:18 29.0℃ 36.0％ 1019.63hPa
2017-05-05 00:23:40 29.1℃ 36.0％ 1019.61hPa
2017-05-05 00:24:03 29.0℃ 36.0％ 1019.55hPa
2017-05-05 00:24:25 29.1℃ 36.0％ 1019.60hPa
2017-05-05 00:24:47 29.1℃ 35.9％ 1019.53hPa
2017-05-05 00:25:09 29.0℃ 35.9％ 1019.58hPa
2017-05-05 00:25:34 29.0℃ 35.6％ 1019.67hPa
2017-05-05 00:25:57 29.0℃ 35.6％ 1019.55hPa
2017-05-05 00:26:19 29.0℃ 35.5％ 1019.54hPa
2017-05-05 00:26:41 29.1℃ 35.4％ 1019.54hPa
2017-05-05 00:27:06 29.0℃ 35.2％ 1019.58hPa
2017-05-05 00:27:28 29.0℃ 35.2％ 1019.53hPa
2017-05-05 00:27:51 29.0℃ 35.3％ 1019.54hPa
2017-05-05 00:28:13 29.1℃ 35.3％ 1019.50hPa
2017-05-05 00:28:38 29.0℃ 35.1％ 1019.50hPa
2017-05-05 00:29:00 29.0℃ 35.1％ 1019.52hPa
2017-05-05 00:29:22 29.0℃ 35.1％ 1019.57hPa
2017-05-05 00:29:47 29.0℃ 35.0％ 1019.49hPa
2017-05-05 00:30:10 29.0℃ 35.0％ 1019.50hPa
2017-05-05 00:30:32 29.1℃ 35.0％ 1019.52hPa
2017-05-05 00:30:54 29.1℃ 35.0％ 1019.53hPa
2017-05-05 00:31:17 29.0℃ 35.0％ 1019.55hPa
2017-05-05 00:31:41 29.0℃ 34.8％ 1019.48hPa
2017-05-05 00:32:04 29.0℃ 34.7％ 1019.52hPa
2017-05-05 00:32:26 29.1℃ 34.7％ 1019.51hPa
